QoE,EE,Rewards
0.0,0.0,0.0
0.3415792478625512,0.012,0.03332633982900409
0.3415792478625512,0.012,0.04850763973400637
0.0,0.022,0.04684446981950432
0.0,0.022000000000000002,0.052844469819504324
0.3415792478625512,0.012,0.04850763973400637
0.0,0.022000000000000002,0.04885682254714442
0.0,0.022,0.04366316991450205
0.0,0.024,0.0313983276563918
0.0,0.02,0.04684446981950432
0.43646237226881546,0.016,0.07231531743789703
0.0,0.02,0.0
0.0,0.013999999999999999,0.0
0.0,0.018000000000000002,0.0
0.0,0.018,0.0
0.0,0.013999999999999999,0.0
0.0,0.02,0.0
0.0,0.022000000000000002,0.0
0.0,0.018,0.0
0.0,0.012,0.0
0.0,0.013999999999999999,0.0
0.1,0.013999999999999999,0.005
0.06547444991945069,0.016000000000000004,0.017237955993556056
0.4583211494361547,0.016,0.06666569195489237
0.0,0.018000000000000002,0.012000000000000002
0.0,0.02,0.024000000000000004
0.4583211494361547,0.018000000000000002,0.060665691954892374
0.0,0.026000000000000002,0.03785693399033409
0.0,0.013999999999999999,0.005999999999999999
0.4583211494361547,0.016,0.04266569195489237
0.06547444991945069,0.024,0.03523795599355606
0.03737043776307589,0.026000000000000002,0.04214180344553348
0.34669750489066953,0.026000000000000002,0.06616215756702296
0.21598819136843334,0.018000000000000002,0.03946782933270114
0.0,0.026000000000000002,0.04695805344557905
0.06643633380102379,0.016,0.019480239065004158
0.0884331020925589,0.030000000000000006,0.07087806445945549
0.029477700697519635,0.026000000000000002,0.02089111478240326
0.4463520055922052,0.018,0.092984649704535
0.0,0.018,0.05825592951852978
0.2391708016836856,0.036,0.06151155217959312
0.05,0.03200000000000001,0.0025
0.05,0.026000000000000002,0.0025
0.0898835640041501,0.018,0.012817808533886681
0.09985445500518762,0.011999999999999997,0.01414726066735835
0.24941782002075047,0.019999999999999997,0.0207945213347167
0.24941782002075047,0.022000000000000002,0.0390890426694334
0.24941782002075047,0.016,0.0207945213347167
0.24941782002075047,0.016000000000000004,0.049089042669433404
0.11647260667358349,0.022000000000000002,0.03636301422314446
0.30481165891540335,0.013999999999999999,0.04147488785538711
0.16555946727033843,0.022,0.042907928969378464
0.05,0.016,0.0075
0.21015423133373123,0.02,0.04885389751116417
0.3276006676451342,0.014000000000000002,0.04951342235268456
0.05,0.016,0.0075
0.05,0.02,0.039500000000000014
0.05,0.030000000000000006,0.027500000000000004
0.05,0.026000000000000002,0.012500000000000002
0.05,0.03200000000000001,0.022500000000000003
0.03333333333333333,0.026000000000000002,0.04950000000000001
0.06666666666666667,0.052000000000000005,0.01
0.03333333333333333,0.05800000000000001,0.027500000000000007
0.27,0.034,0.07473451576287023
0.5959073903033417,0.036000000000000004,0.11676267806066835
0.25505795762870226,0.044,0.07480779576287022
0.33281774113738744,0.028000000000000004,0.0591809109026642
0.27,0.044000000000000004,0.060901931920956755
0.27,0.036000000000000004,0.056705795762870236
0.0,0.048,0.02900000000000001
0.5250579576287023,0.05,0.09822954152574045
0.33666666666666667,0.036000000000000004,0.12853600000000004
0.06666666666666667,0.046,0.0724
0.30333333333333334,0.042,0.12842088291323708
0.30333333333333334,0.042,0.12063600000000001
0.4486776178877728,0.042,0.17536885691088794
0.40022952303629306,0.044000000000000004,0.1424454812409208
0.03333333333333333,0.046000000000000006,0.08402000000000001
0.30333333333333334,0.046000000000000006,0.12250000000000003
0.6366666666666667,0.04,0.19501600000000002
0.43000000000000005,0.042,0.15930000000000002
0.05,0.05800000000000001,0.0235
0.025,0.04400000000000001,0.09090000000000004
0.2275,0.05600000000000001,0.15059280000000003
0.38546507763174065,0.05200000000000001,0.15499921656143806
0.23872749999999998,0.056000000000000015,0.1343642666666667
0.1811114479468635,0.06200000000000001,0.129122330009663
0.17309226027975683,0.054000000000000006,0.1026965077631741
0.2275,0.044000000000000004,0.11730000000000003
0.15663756469311718,0.04800000000000001,0.11054134023393251
0.43000000000000005,0.04800000000000001,0.1489
0.025,0.062,0.05350000000000001
0.10870384246657408,0.05,0.12702613159304552
0.6325000000000001,0.046000000000000006,0.2315000000000001
0.275,0.044000000000000004,0.17269640000000006
0.5886503647276002,0.048,0.20890217733182595
0.44843041888223856,0.046000000000000006,0.18416306592060144
0.47750000000000004,0.06200000000000001,0.2289957333333334
0.2275,0.05800000000000001,0.1703666666666667
0.35269736472760027,0.04400000000000002,0.1969254620269217
0.275,0.064,0.12200131659211866
0.05,0.052000000000000005,0.0099
0.43000000000000005,0.048,0.14073999999999998
0.2025,0.05600000000000001,0.0678
0.044132036312013595,0.05600000000000001,0.043555013228929955
0.12079351565612331,0.052000000000000005,0.04132081802281389
0.3823961089360408,0.05,0.09913251984339493
0.361375330723249,0.033999999999999996,0.13949704762414783
0.05693540098853854,0.064,0.052231513222795234
0.0,0.05,0.0834
0.12324755062102581,0.062,0.03826043126508044
0.2652375110374064,0.05800000000000001,0.070459084437074
0.19247463480114851,0.07400000000000002,0.06798075808608177
0.0887814632357537,0.07200000000000001,0.08118030989228978
0.38573092804714715,0.078,0.09550780043652837
0.27298334804987523,0.06999999999999999,0.09138083554081462
0.16096370011742506,0.05600000000000001,0.06853199664714635
0.33663481604165896,0.06200000000000001,0.08279315686965469
0.494982,0.08800000000000001,0.13383226666666667
0.19912166062263467,0.07400000000000002,0.07799159674961109
0.08283609489718624,0.072,0.053539173221612515
0.28964825616801987,0.08800000000000001,0.12137940160606231
0.3884508825717877,0.076,0.12252350984769086
0.3925739142140309,0.07200000000000001,0.19584915663337282
0.33530467721036555,0.082,0.16300247610985183
0.21394941839077797,0.074,0.1736758397203232
0.4111273895963605,0.09000000000000001,0.1930318032447146
0.19977459965647118,0.06600000000000002,0.1578109209769207
0.40606903024043783,0.06800000000000002,0.1856396254627138
0.6044535564433824,0.064,0.2232099409310973
0.17682871177550955,0.06800000000000002,0.12853889082612233
0.14310533411632395,0.06400000000000002,0.10476532937855638
0.09625388484772839,0.07400000000000001,0.0850752887596646
0.06611994259759103,0.09000000000000004,0.09252929049124614
0.07068962448036209,0.07000000000000002,0.06992738467083877
0.06364315172205398,0.08200000000000003,0.10273547271447088
0.044852557699899064,0.07200000000000001,0.09867319894980989
0.08171467903812635,0.08000000000000003,0.11102618251970602
0.13366439134283384,0.07400000000000002,0.09803068435224675
0.14329559661715588,0.08000000000000003,0.09542090821476781
0.045939200208797513,0.08400000000000002,0.0869703177598892
0.0902002479867514,0.07800000000000001,0.0414720892752305
0.11275621685355926,0.07999999999999999,0.1144821716600168
0.3552147750934463,0.05800000000000001,0.21497435903364073
0.20285281815101266,0.06400000000000002,0.16207080581374586
0.05739252874846776,0.092,0.12785455582175323
0.26797853672947647,0.06600000000000002,0.17960225799705076
0.31833333333333336,0.06200000000000001,0.21492400000000006
0.23709660406576505,0.06600000000000002,0.20213066155674567
0.15166666666666667,0.06600000000000002,0.16965721803746567
0.23710716250014907,0.05800000000000001,0.2058521359279207
0.03333333333333333,0.092,0.07612575958790972
0.24984561838440622,0.084,0.11921611923758395
0.21651228505107287,0.08,0.20576419860136044
