QoE,EE,Rewards
0.0,0.0,0.0
0.3415792478625512,0.018000000000000002,0.06650763973400639
0.3415792478625512,0.018,0.06050763973400639
0.0,0.02,0.04684446981950433
0.0,0.026000000000000002,0.033181299905002286
0.3415792478625512,0.022000000000000002,0.06050763973400639
0.3415792478625512,0.014000000000000002,0.06650763973400639
0.3415792478625512,0.013999999999999999,0.06050763973400639
0.3415792478625512,0.018,0.03484446981950433
0.0,0.013999999999999999,0.03484446981950433
0.0,0.022,0.02118129990500228
0.1,0.022,0.005
0.1,0.022,0.005
0.37767796298223033,0.016,0.0529999242822331
0.48258850825507205,0.013999999999999999,0.06860708066040576
0.18883898149111517,0.012,0.04149996214111655
0.0,0.026000000000000002,0.034785687243654675
0.28955310495304326,0.016000000000000004,0.04803327528304539
0.0,0.030000000000000006,0.030000000000000006
0.37767796298223033,0.024,0.04510711851928921
0.37767796298223033,0.016,0.06499992428223311
0.26189779967780263,0.016,0.05659172618212656
0.22916057471807735,0.018000000000000002,0.03135133742063765
0.0,0.02,0.07345341785274065
0.0,0.028000000000000004,0.037579885909219415
0.0,0.026000000000000002,0.03101405732966859
0.4583211494361547,0.02,0.056702674841275294
0.0,0.022,0.012789942954609695
0.0,0.018000000000000002,0.012000000000000002
0.4583211494361547,0.022000000000000002,0.06666569195489237
0.0,0.022,0.022300297204586143
0.0,0.022000000000000002,0.017012724123441403
0.0,0.024,0.0570763447406484
0.0,0.02,0.05207634474064841
0.19100445967794338,0.026000000000000002,0.05230416912531658
0.08639527654737336,0.028000000000000004,0.03820222009375116
0.38200891935588677,0.036,0.07157220903231395
0.32352825268587343,0.022,0.0469711958235196
0.529397422843485,0.022000000000000002,0.06846905843663839
0.29896350210460704,0.019999999999999997,0.06375016041049665
0.1473885034875982,0.024,0.023860720186005234
0.14970891001037523,0.018000000000000002,0.025794521334716703
0.080679664618577,0.024,0.0265906219491436
0.15288699534924205,0.022,0.04988493271323228
0.13274342026665598,0.02,0.027527087682444773
0.0,0.036000000000000004,0.04289726066735835
0.6598116589154034,0.020000000000000004,0.08492488785538713
0.19941782002075048,0.022,0.05881404266943341
0.405,0.028000000000000004,0.057699999999999994
0.4548544550051876,0.022000000000000002,0.05113662066735836
0.39856658260081956,0.030000000000000006,0.05442538705938103
0.05,0.016,0.0025
0.05,0.024,0.0025
0.05,0.026000000000000002,0.0025
0.05,0.022000000000000002,0.0025
0.05,0.018,0.0025
0.05,0.034,0.0025
0.05,0.02,0.0025
0.05,0.026000000000000002,0.0025
0.05,0.028000000000000004,0.0025
0.03333333333333333,0.030000000000000006,0.0025
0.03333333333333333,0.04,0.1345
0.30333333333333334,0.038000000000000006,0.10486382776002771
0.27,0.048,0.14780000000000004
0.5959073903033417,0.052000000000000005,0.12250888683640104
0.5250579576287023,0.05200000000000001,0.1534069549154443
0.2983397730698558,0.042,0.1494563863841914
0.36977018442314796,0.04,0.1583724221307778
0.5250579576287023,0.04000000000000001,0.1857089549154443
0.27,0.042,0.10940000000000005
0.27,0.052000000000000005,0.17874444341820056
0.33666666666666667,0.05,0.04950000000000001
0.5896866666666667,0.05,0.19276733333333335
0.20302823278110105,0.046000000000000006,0.10193561275604415
0.39468506069243897,0.04,0.13943517273591055
